StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,CHLA_N,F_CHLA_N,Unnamed: 20
cbmocnut  ,P,04/15/2003 13:30,1,1,1,1,,0.008,<4>  ,0.024,<4>  ,0.012,<4>  ,1.408,<4>  C                   ,1.42,<4>  ,5.3,<4>  ,
cbmocnut  ,P,04/23/2003 10:15,1,1,1,1,,0.003,<4>  ,0.005,<4>  ,0.011,<4>  ,1.039,<4>  C                   ,1.05,<4>  ,22.4,<4>  ,
cbmocnut  ,P,04/30/2003 10:45,1,1,1,1,,0.003,<4>  ,0.018,<4>  ,0.01,<4>  ,0.89,<4>  C                   ,0.9,<4>  ,23.4,<4>  ,
cbmocnut  ,P,05/08/2003 12:30,1,1,1,1,,0.003,<4>  ,0.019,<4>  ,0.014,<4>  ,0.868,<4>  C                   ,0.882,<4>  ,21.5,<4>  ,
cbmocnut  ,P,05/14/2003 9:30,1,1,1,1,,0.002,<4>  ,0.031,<4>  ,0.013,<4>  ,0.903,<4>  C                   ,0.916,<4>  ,15.0,<4>  ,
cbmocnut  ,P,05/21/2003 10:00,1,1,1,1,,0.004,<4>  ,0.126,<4>  ,0.018,<4>  ,1.042,<4>  C                   ,1.06,<4>  ,7.5,<4>  ,
cbmocnut  ,P,05/29/2003 9:45,1,1,1,1,,0.005,<4>  ,0.123,<4>  ,0.014,<4>  ,0.791,<4>  C                   ,0.805,<4>  ,7.5,<4>  ,
cbmocnut  ,P,06/04/2003 8:45,1,1,1,1,,0.005,<4>  ,0.084,<4>  ,0.021,<4>  ,1.149,<4>  C                   ,1.17,<4>  ,15.0,<4>  ,
cbmocnut  ,P,06/11/2003 8:45,1,1,1,1,,0.005,<4>  ,0.044,<4>  ,0.012,<4>  ,1.118,<4>  C                   ,1.13,<4>  ,11.2,<4>  ,
cbmocnut  ,P,06/18/2003 12:00,1,1,1,1,,0.004,<4>  ,0.075,<4>  ,0.016,<4>  ,1.104,<4>  C                   ,1.12,<4>  ,9.7,<4>  ,
cbmocnut  ,P,06/25/2003 9:15,1,1,1,1,,0.006,<4>  ,0.1,<4>  ,0.011,<4>  ,0.989,<4>  C                   ,1.0,<4>  ,3.7,<4>  ,
cbmocnut  ,P,07/02/2003 11:45,1,1,1,1,,0.008,<4>  ,0.012,<4>  ,0.017,<4>  ,1.203,<4>  C                   ,1.22,<4>  ,12.0,<4>  ,
cbmocnut  ,P,07/09/2003 10:45,1,1,1,1,,0.011,<4>  ,0.065,<4>  ,0.018,<4>  ,0.826,<4>  C                   ,0.844,<4>  ,5.6,<4>  ,
cbmocnut  ,P,07/16/2003 9:15,1,1,1,1,,0.011,<4>  ,0.06,<4>  ,0.02,<4>  ,1.07,<4>  C                   ,1.09,<4>  ,9.0,<4>  ,
cbmocnut  ,P,07/23/2003 9:45,1,1,1,1,,0.009,<4>  ,0.03,<4>  ,0.027,<4>  ,0.818,<4>  C                   ,0.845,<4>  ,3.5,<4>  ,
cbmocnut  ,P,07/30/2003 10:00,1,1,1,1,,0.01,<4>  ,0.003,<4>  B                   ,0.016,<4>  ,0.545,<4>  C                   ,0.561,<4>  ,3.3,<4>  ,
cbmocnut  ,P,07/30/2003 10:00,1,1,1,2,,0.003,<4>  ,0.006,<4>  ,0.016,<4>  ,0.531,<4>  C                   ,0.547,<4>  ,2.7,<4>  ,
cbmocnut  ,P,08/06/2003 10:00,1,1,1,1,,0.005,<4>  ,0.023,<4>  ,0.021,<4>  ,0.611,<4>  C                   ,0.632,<4>  ,4.9,<4>  ,
cbmocnut  ,P,08/13/2003 10:30,1,1,1,1,,0.005,<4>  ,0.057,<4>  ,0.035,<4>  ,0.475,<4>  C                   ,0.51,<4>  ,8.5,<4>  ,
cbmocnut  ,P,08/20/2003 9:30,1,1,1,1,,0.004,<4>  ,0.019,<4>  ,0.011,<4>  ,0.204,<4>  C                   ,0.215,<4>  ,4.5,<4>  ,
cbmocnut  ,P,08/27/2003 12:15,1,1,1,1,,0.005,<4>  ,0.023,<4>  ,0.007,<4>  ,0.171,<4>  C                   ,0.178,<4>  ,3.0,<4>  ,
cbmocnut  ,P,08/27/2003 12:15,1,1,1,2,,0.003,<4>  ,0.032,<4>  ,0.008,<4>  ,0.176,<4>  C                   ,0.184,<4>  ,1.5,<4>  ,
cbmocnut  ,P,09/02/2003 11:00,1,1,1,1,,0.004,<4>  ,0.035,<4>  ,0.007,<4>  ,0.306,<4>  C                   ,0.313,<4>  ,59.4,<4>  ,
cbmocnut  ,P,10/14/2003 9:00,1,1,1,1,,0.003,<4>  ,0.016,<4>  ,0.008,<4>  ,1.072,<4>  C                   ,1.08,<4>  ,6.7,<4>  ,
cbmocnut  ,P,10/21/2003 9:15,1,1,1,1,,0.003,<4>  ,0.011,<4>  ,0.007,<4>  ,0.973,<4>  C                   ,0.98,<4>  ,6.0,<4>  ,
cbmocnut  ,P,10/29/2003 10:15,1,1,1,1,,0.005,<4>  ,0.046,<4>  ,0.006,<4>  ,0.542,<4>  C                   ,0.548,<4>  ,,<4>  D                   ,
cbmocnut  ,P,10/29/2003 10:15,1,1,1,2,,0.006,<4>  ,0.046,<4>  ,0.0059,<4>  ,0.5601,<4>  C                   ,0.566,<4>  ,4.5,<4>  ,
cbmocnut  ,P,11/12/2003 11:20,1,1,1,1,,0.0106,<4>  ,0.095,<4>  ,0.0124,<4>  ,1.2476,<4>  C                   ,1.26,<4>  ,,<4>  M                   ,
cbmocnut  ,P,11/25/2003 12:15,1,1,1,1,,0.0069,<4>  ,0.132,<4>  ,0.0169,<4>  ,1.4331,<4>  C                   ,1.45,<4>  ,,<4>  M                   ,
cbmocnut  ,P,11/25/2003 12:15,1,1,1,2,,0.0059,<4>  ,0.145,<4>  ,0.0177,<4>  ,1.5223,<4>  C                   ,1.54,<4>  ,,<4>  M                   ,
cbmocnut  ,P,12/09/2003 11:30,1,1,1,1,,0.0038,<4>  ,0.198,<4>  ,0.0091,<4>  ,1.7509,<4>  C                   ,1.76,<4>  ,,<4>  M                   ,
cbmocnut  ,P,03/10/2004 9:15,1,1,1,1,,0.003,<4>  ,0.006,<4>  ,0.0132,<4>  ,1.497,<4>  C                   ,1.51,<4>  ,138.3,<4>  ,
cbmocnut  ,P,03/10/2004 9:15,1,1,1,2,,0.0026,<4>  ,0.004,<4>  ,0.0128,<4>  ,1.497,<4>  C                   ,1.51,<4>  ,138.3,<4>  ,
cbmocnut  ,P,03/30/2004 8:15,1,1,1,1,,0.0122,<4>  ,0.035,<4>  ,0.0181,<4>  ,1.732,<4>  C                   ,1.75,<4>  ,100.9,<4>  ,
